Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
House,,,,,,,,54 Aminya Street Mansfield 4122,-27.5393728,153.1006151
House,,,,,,,,58 Aminya Street Mansfield 4122,-27.5393878,153.1008912
House,,,,,,,,34 Arura Street Mansfield 4122,-27.5373137,153.0988668
House,,,,,,,,36 Arura Street Mansfield 4122,-27.5375161,153.0988208
House,,,,,,,,42 Arura Street Mansfield 4122,-27.538048,153.0987288
House,,,,,,,,43 Arura Street Mansfield 4122,-27.5377171,153.0983607
House,,,,,,,,49 Arura Street Mansfield 4122,-27.538197,153.0982227
House,,,,,,,,10 Atrina Street Mansfield 4122,-27.5380465,153.1011672
House,,,,,,,,11 Atrina Street Mansfield 4122,-27.5381108,153.1006611
House,,,,,,,,13 Atrina Street Mansfield 4122,-27.5383323,153.1007071
House,,,,,,,,37 Cresthaven Drive Mansfield 4122,-27.5409781,153.0989588
House,,,,,,,,41 Cresthaven Drive Mansfield 4122,-27.5408412,153.0990225
House,,,,,,,,42 Cresthaven Drive Mansfield 4122,-27.5403929,153.0985908
House,,,,,,,,43 Cresthaven Drive Mansfield 4122,-27.5406158,153.0990509
House,,,,,,,,47 Cresthaven Drive Mansfield 4122,-27.5402439,153.0990969
House,,,,,,,,22 Greenmeadow Road Mansfield 4122,-27.5256897,153.0979789
House,,,,,,,,24 Greenmeadow Road Mansfield 4122,-27.5255623,153.0980932
House,,,,,,,,26 Greenmeadow Road Mansfield 4122,-27.5254901,153.0982687
House,,,,,,,,61 Greenmeadow Road Mansfield 4122,-27.5260293,153.0983626
House,,,,,,,,63 Greenmeadow Road Mansfield 4122,-27.525877,153.0984988
House,,,,,,,,65 Greenmeadow Road Mansfield 4122,-27.5258342,153.0986492
House,,,,,,,,2 Liatoki Street Mansfield 4122,-27.5394662,153.1017487
House,,,,,,,,4 Liatoki Street Mansfield 4122,-27.5394808,153.1019494
House,,,,,,,,1 Lilyvale Street Mansfield 4122,-27.5271295,153.0989401
House,,,,,,,,3 Lilyvale Street Mansfield 4122,-27.5269757,153.0989631
House,,,,,,,,7 Nucella Street Mansfield 4122,-27.5377129,153.099971
House,,,,,,,,8 Nucella Street Mansfield 4122,-27.5377238,153.1004311
House,,,,,,,,9 Nucella Street Mansfield 4122,-27.5378729,153.099925
House,,,,,,,,10 Nucella Street Mansfield 4122,-27.5379686,153.1003851
House,,,,,,,,12 Nucella Street Mansfield 4122,-27.5380862,153.1003391
House,,,,,,,,14 Nucella Street Mansfield 4122,-27.5382885,153.1002931
House,,,,,,,,15 Nucella Street Mansfield 4122,-27.5382448,153.099879
House,,,,,,,,4 Olivella Street Mansfield 4122,-27.5382844,153.09865
House,,,,,,,,14 Olivella Street Mansfield 4122,-27.5384603,153.0998569
House,,,,,,,,21 Olivella Street Mansfield 4122,-27.5390009,153.1006611
House,,,,,,,,24 Olivella Street Mansfield 4122,-27.5386016,153.1009832
House,,,,,,,,25 Olivella Street Mansfield 4122,-27.5390542,153.1011212
House,,,,,,,,22 Hockings Street Holland Park West 4121,-27.5284431,153.0690577
House,,,,,,,,2 Fulton Street Wishart 4122,-27.5649192,153.0886145
House,,,,,,,,12 Fulton Street Wishart 4122,-27.5650537,153.0898034
House,,,,,,,,16 Fulton Street Wishart 4122,-27.5651303,153.0901715
House,,,,,,,,11 Midwood Street Wishart 4122,-27.562388,153.0895001
House,,,,,,,,8 Nev Close Wishart 4122,-27.5499128,153.1061388
House,,,,,,,,19 Shillington Place Wishart 4122,-27.5483354,153.1064123
House,,,,,,,,211 Wishart Road Wishart 4122,-27.5475477,153.0925408
House,,,,,,,,213 Wishart Road Wishart 4122,-27.5475176,153.0927018
House,,,,,,,,215 Wishart Road Wishart 4122,-27.5475559,153.0928859
House,,,,,,,,217 Wishart Road Wishart 4122,-27.5475518,153.0930699
House,,,,,,,,227 Wishart Road Wishart 4122,-27.5476654,153.093921
House,,,,,,,,242 Wishart Road Wishart 4122,-27.5472005,153.093622
House,,,,,,,,246 Wishart Road Wishart 4122,-27.5472292,153.09376
House,,,,,,,,273 Wishart Road Wishart 4122,-27.5478021,153.0946801
House,,,,,,,,149 Boundary Road Coorparoo 4151,-27.5010113,153.0753357
House,,,,,,,,298 Chatsworth Road Coorparoo 4151,-27.5038351,153.0681357
House,,,,,,,,302 Chatsworth Road Coorparoo 4151,-27.5037288,153.0683518
House,,,,,,,,18 Doyle Street Coorparoo 4151,-27.5027659,153.0695157
House,,,,,,,,15 Esmonde Place Coorparoo 4151,-27.5026196,153.0679977
House,,,,,,,,35 Esmonde Place Coorparoo 4151,-27.5035152,153.0682277
House,,,,,,,,30 Gristock Street Coorparoo 4151,-27.5036273,153.0679517
House,,,,,,,,25 Kanumbra Street Coorparoo 4151,-27.5071269,153.0611436
House,,,,,,,,4 Orion Street Coorparoo 4151,-27.5062452,153.0684593
House,,,,,,,,133 Beddoes Street Holland Park 4121,-27.5223757,153.074944
House,,,,,,,,135 Beddoes Street Holland Park 4121,-27.5223443,153.075149
House,,,,,,,,139 Beddoes Street Holland Park 4121,-27.522169,153.0754159
House,,,,,,,,31 Cradock Street Holland Park 4121,-27.5211982,153.074092
House,,,,,,,,41 Cradock Street Holland Park 4121,-27.522035,153.0748113
House,,,,,,,,12 Dobbie Street Holland Park 4121,-27.5209959,153.0721839
House,,,,,,,,16 Dobbie Street Holland Park 4121,-27.5211422,153.0722759
House,,,,,,,,18 Dobbie Street Holland Park 4121,-27.5212331,153.0723564
House,,,,,,,,20 Dobbie Street Holland Park 4121,-27.52135,153.0724599
House,,,,,,,,21 Dobbie Street Holland Park 4121,-27.5215085,153.0719999
House,,,,,,,,26 Dobbie Street Holland Park 4121,-27.5216132,153.0726554
House,,,,,,,,29 Dobbie Street Holland Park 4121,-27.5219338,153.0724139
House,,,,,,,,31 Dobbie Street Holland Park 4121,-27.5220705,153.0724599
House,,,,,,,,32 Dobbie Street Holland Park 4121,-27.5219462,153.0729314
House,,,,,,,,33 Dobbie Street Holland Park 4121,-27.5221953,153.072511
House,,,,,,,,26 Hector Road Holland Park 4121,-27.523061,153.0798664
House,,,,,,,,26 Macklin Street Holland Park 4121,-27.5204178,153.075312
House,,,,,,,,389 Nursery Road Holland Park 4121,-27.5244755,153.0799199
House,,,,,,,,414 Nursery Road Holland Park 4121,-27.5236981,153.0802804
House,,,,,,,,12 Rowton Street Holland Park 4121,-27.5206268,153.0730579
House,,,,,,,,14 Rowton Street Holland Park 4121,-27.5207307,153.0731499
House,,,,,,,,18 Rowton Street Holland Park 4121,-27.5209679,153.0733224
House,,,,,,,,20 Rowton Street Holland Park 4121,-27.5210849,153.0734259
House,,,,,,,,24 Rowton Street Holland Park 4121,-27.5213351,153.0736099
House,,,,,,,,73 Seville Road Holland Park 4121,-27.5231232,153.0718158
House,,,,,,,,6 Steele Street Holland Park 4121,-27.5278116,153.0719877
House,,,,,,,,10 Aemilia Avenue Seven Hills 4170,-27.478622,153.0691937
House,,,,,,,,36 Appia Avenue Seven Hills 4170,-27.4799299,153.07001
House,,,,,,,,40 Appia Avenue Seven Hills 4170,-27.4796562,153.0695464
House,,,,,,,,44 Appia Avenue Seven Hills 4170,-27.4792783,153.0696998
House,,,,,,,,122 Darcy Road Seven Hills 4170,-27.479029,153.0727819
House,,,,,,,,124 Darcy Road Seven Hills 4170,-27.4790672,153.0729659
House,,,,,,,,126 Darcy Road Seven Hills 4170,-27.4790631,153.0731499
House,,,,,,,,21 Kensington Avenue Seven Hills 4170,-27.4776303,153.0713558
House,,,,,,,,23 Kensington Avenue Seven Hills 4170,-27.4775126,153.0714018
House,,,,,,,,26 Majestic Outlook Seven Hills 4170,-27.4813457,153.0710798
House,,,,,,,,30 Majestic Outlook Seven Hills 4170,-27.4811898,153.0709418
House,,,,,,,,88 Majestic Outlook Seven Hills 4170,-27.4801918,153.0696077
House,,,,,,,,12 Marshall Avenue Seven Hills 4170,-27.4773911,153.0702058
House,,,,,,,,16 Marshall Avenue Seven Hills 4170,-27.4775046,153.0703438
House,,,,,,,,18 Marshall Avenue Seven Hills 4170,-27.4775757,153.0704818
House,,,,,,,,136 Oateson Skyline Drive Seven Hills 4170,-27.4808448,153.0722269
House,,,,,,,,155 Oateson Skyline Drive Seven Hills 4170,-27.4799329,153.0726439
House,,,,,,,,157 Oateson Skyline Drive Seven Hills 4170,-27.4797538,153.0725979
House,,,,,,,,164 Oateson Skyline Drive Seven Hills 4170,-27.4799154,153.0716657
House,,,,,,,,172 Oateson Skyline Drive Seven Hills 4170,-27.4796664,153.0717698
House,,,,,,,,7 Ara Street Camp Hill 4152,-27.5019645,153.0764621
House,,,,,,,,24 Ara Street Camp Hill 4152,-27.5016302,153.0777334
House,,,,,,,,32 Ara Street Camp Hill 4152,-27.5017213,153.0783691
House,,,,,,,,12 Arrol Street Camp Hill 4152,-27.492515,153.0819826
House,,,,,,,,12 Brooks Street Camp Hill 4152,-27.4975604,153.081759
House,,,,,,,,14 Brooks Street Camp Hill 4152,-27.4977333,153.0817985
House,,,,,,,,19 Brooks Street Camp Hill 4152,-27.4976747,153.0811325
House,,,,,,,,27 Brooks Street Camp Hill 4152,-27.4982913,153.0810165
House,,,,,,,,48 Brooks Street Camp Hill 4152,-27.4997667,153.0813845
House,,,,,,,,62 Brooks Street Camp Hill 4152,-27.5008634,153.0811545
House,,,,,,,,74 Burn Street Camp Hill 4152,-27.4975622,153.0828106
House,,,,,,,,81 Burn Street Camp Hill 4152,-27.4980737,153.0822126
House,,,,,,,,107 Burn Street Camp Hill 4152,-27.4994248,153.0819826
House,,,,,,,,12 Cedlen Street Camp Hill 4152,-27.4980069,153.0804644
House,,,,,,,,14 Errey Street Camp Hill 4152,-27.4910527,153.0843288
House,,,,,,,,18 Errey Street Camp Hill 4152,-27.4909406,153.0846048
House,,,,,,,,75 Long Street Camp Hill 4152,-27.498317,153.0831787
House,,,,,,,,79 Long Street Camp Hill 4152,-27.4985618,153.0831327
House,,,,,,,,81 Long Street Camp Hill 4152,-27.4987149,153.0831557
House,,,,,,,,82 Long Street Camp Hill 4152,-27.498667,153.0836387
House,,,,,,,,86 Long Street Camp Hill 4152,-27.4989756,153.0836899
House,,,,,,,,10 Orwell Street Camp Hill 4152,-27.4925243,153.0834547
House,,,,,,,,14 Orwell Street Camp Hill 4152,-27.4923643,153.0835007
House,,,,,,,,35 Orwell Street Camp Hill 4152,-27.4909248,153.0836367
House,,,,,,,,47 Orwell Street Camp Hill 4152,-27.4907521,153.0830867
House,,,,,,,,35 Pavo Street Camp Hill 4152,-27.5025907,153.0778422
House,,,,,,,,41 Pavo Street Camp Hill 4152,-27.5025074,153.0768301
House,,,,,,,,9 Prout Street Camp Hill 4152,-27.4987895,153.07685
House,,,,,,,,48 Prout Street Camp Hill 4152,-27.4988,153.0803691
House,,,,,,,,38 Thomas Street Camp Hill 4152,-27.5013614,153.0778422
House,,,,,,,,20 Kuring-gai Avenue Tarragindi 4121,-27.5273668,153.0552527
House,,,,,,,,25 Kuring-gai Avenue Tarragindi 4121,-27.5271978,153.0547497
House,,,,,,,,31 Kuring-gai Avenue Tarragindi 4121,-27.5273617,153.0545197
House,,,,,,,,35 Kuring-gai Avenue Tarragindi 4121,-27.5274601,153.0543817
House,,,,,,,,36 Kuring-gai Avenue Tarragindi 4121,-27.5285317,153.0538298
House,,,,,,,,41 Kuring-gai Avenue Tarragindi 4121,-27.5276241,153.0541517
House,,,,,,,,59 Kuring-gai Avenue Tarragindi 4121,-27.5281448,153.0535998
House,,,,,,,,55 Landor Street Tarragindi 4121,-27.5225738,153.048218
House,,,,,,,,357 Marshall Road Tarragindi 4121,-27.5315731,153.0460562
House,,,,,,,,365 Marshall Road Tarragindi 4121,-27.5318026,153.0457342
House,,,,,,,,370 Marshall Road Tarragindi 4121,-27.5319273,153.0463322
House,,,,,,,,374 Marshall Road Tarragindi 4121,-27.5320203,153.0461219
House,,,,,,,,24A Monash Road Tarragindi 4121,-27.5333745,153.0455502
House,,,,,,,,30 Monash Road Tarragindi 4121,-27.5335304,153.0456882
House,,,,,,,,34 Monash Road Tarragindi 4121,-27.5337095,153.0457342
House,,,,,,,,23 Orford Street Tarragindi 4121,-27.5209236,153.0476201
House,,,,,,,,28 Orford Street Tarragindi 4121,-27.5211445,153.0480565
House,,,,,,,,34 Orford Street Tarragindi 4121,-27.5215823,153.0479721
House,,,,,,,,36 Orford Street Tarragindi 4121,-27.5217439,153.0478961
House,,,,,,,,38 Orford Street Tarragindi 4121,-27.5218815,153.0479133
House,,,,,,,,39 Orford Street Tarragindi 4121,-27.5218599,153.0474361
House,,,,,,,,40 Orford Street Tarragindi 4121,-27.5220309,153.0478501
House,,,,,,,,42 Orford Street Tarragindi 4121,-27.5221909,153.0478041
House,,,,,,,,44 Orford Street Tarragindi 4121,-27.5223508,153.0477581
House,,,,,,,,45 Orford Street Tarragindi 4121,-27.5222058,153.0473671
House,,,,,,,,46 Orford Street Tarragindi 4121,-27.5224779,153.0477581
House,,,,,,,,21 Prior Street Tarragindi 4121,-27.5313455,153.0443543
House,,,,,,,,52 Toohey Road Tarragindi 4121,-27.5208469,153.0472521
House,,,,,,,,89 Toohey Road Tarragindi 4121,-27.5221768,153.0465162
House,,,,,,,,93 Toohey Road Tarragindi 4121,-27.5223039,153.0465162
House,,,,,,,,105 Toohey Road Tarragindi 4121,-27.5227413,153.0463782
House,,,,,,,,109 Toohey Road Tarragindi 4121,-27.5228684,153.0463782
House,,,,,,,,120 Toohey Road Tarragindi 4121,-27.5235056,153.0467921
House,,,,,,,,131 Toohey Road Tarragindi 4121,-27.5240271,153.046134
House,,,,,,,,124 Toohey Road Tarragindi 4121,-27.5236819,153.0467231
House,,,,,,,,299 Toohey Road Tarragindi 4121,-27.5314582,153.0447667
House,,,,,,,,325 Toohey Road Tarragindi 4121,-27.5326975,153.0445383
House,,,,,,,,327 Toohey Road Tarragindi 4121,-27.5328246,153.0445383
House,,,,,,,,360 Toohey Road Tarragindi 4121,-27.5351908,153.0446073
House,,,,,,,,133 Weller Road Tarragindi 4121,-27.5239722,153.048218
House,,,,,,,,170 Weller Road Tarragindi 4121,-27.5244319,153.0461357
House,,,,,,,,172 Weller Road Tarragindi 4121,-27.5244253,153.0459182
House,,,,,,,,176 Weller Road Tarragindi 4121,-27.5243363,153.0457457
House,,,,,,,,5 Allambie Street Carina 4152,-27.4884716,153.0874111
House,,,,,,,,30 Allambie Street Carina 4152,-27.4894877,153.0877352
House,,,,,,,,4 Broadway Street Carina 4152,-27.4885971,153.0884233
House,,,,,,,,3 Florence Street Carina 4152,-27.4882015,153.0899875
House,,,,,,,,8 Hendren Street Carina 4152,-27.4864076,153.0886993
House,,,,,,,,23 Lunga Street Carina 4152,-27.4869151,153.0882853
House,,,,,,,,41 Lunga Street Carina 4152,-27.4858086,153.0884693
House,,,,,,,,142 Mayfield Road Carina 4152,-27.4886498,153.0903544
House,,,,,,,,160 Stanley Road Carina 4152,-27.4877013,153.0868585
House,,,,,,,,162 Stanley Road Carina 4152,-27.4877591,153.0870431
House,,,,,,,,164 Stanley Road Carina 4152,-27.4877878,153.0871811
House,,,,,,,,194 Stanley Road Carina 4152,-27.4881387,153.0894814
House,,,,,,,,195 Stanley Road Carina 4152,-27.4884616,153.0887913
House,,,,,,,,210 Stanley Road Carina 4152,-27.4882302,153.0901255
House,,,,,,,,214 Stanley Road Carina 4152,-27.4882547,153.0904475
House,,,,,,,,215 Stanley Road Carina 4152,-27.4885776,153.0897574
House,,,,,,,,7 Barford Street Moorooka 4105,-27.5350592,153.0329016
House,,,,,,,,10 Barford Street Moorooka 4105,-27.5347354,153.0331775
House,,,,,,,,12 Barford Street Moorooka 4105,-27.5348393,153.0332695
House,,,,,,,,16 Barford Street Moorooka 4105,-27.5348777,153.0334535
House,,,,,,,,22 Barford Street Moorooka 4105,-27.5349776,153.0337295
House,,,,,,,,24 Barford Street Moorooka 4105,-27.5349736,153.0339134
House,,,,,,,,4 Charmaine Street Moorooka 4105,-27.5362496,153.0327176
House,,,,,,,,7 Charmaine Street Moorooka 4105,-27.5368428,153.0327176
House,,,,,,,,8 Charmaine Street Moorooka 4105,-27.5363919,153.0329936
House,,,,,,,,9 Charmaine Street Moorooka 4105,-27.5370732,153.0329591
House,,,,,,,,10 Charmaine Street Moorooka 4105,-27.5365286,153.0330395
House,,,,,,,,6 Feldt Street Moorooka 4105,-27.5351211,153.0312688
House,,,,,,,,7 Feldt Street Moorooka 4105,-27.5352103,153.0317977
House,,,,,,,,159 Mayfield Road Moorooka 4105,-27.5342733,153.0329936
House,,,,,,,,163 Mayfield Road Moorooka 4105,-27.5343213,153.0332235
House,,,,,,,,6 Rachael Street Moorooka 4105,-27.5355325,153.0335455
House,,,,,,,,10 Rachael Street Moorooka 4105,-27.5356923,153.0334995
House,,,,,,,,12 Rachael Street Moorooka 4105,-27.5358291,153.0335455
House,,,,,,,,14 Rachael Street Moorooka 4105,-27.5360601,153.0336375
House,,,,,,,,16 Rachael Street Moorooka 4105,-27.5360985,153.0338214
House,,,,,,,,18 Rachael Street Moorooka 4105,-27.5360425,153.0339594
House,,,,,,,,349 Tarragindi Road Moorooka 4105,-27.5354565,153.0321657
House,,,,,,,,359 Tarragindi Road Moorooka 4105,-27.5359458,153.0320737
House,,,,,,,,363 Tarragindi Road Moorooka 4105,-27.5361057,153.0320277
House,,,,,,,,367 Tarragindi Road Moorooka 4105,-27.5362752,153.0320277
House,,,,,,,,379 Tarragindi Road Moorooka 4105,-27.5367836,153.0320277
House,,,,,,,,21 Cairo Street Enoggera 4051,-27.4211618,152.9901409
House,,,,,,,,1 Gizeh Street Enoggera 4051,-27.4209683,152.98969
House,,,,,,,,5 Gizeh Street Enoggera 4051,-27.4209204,152.98946
House,,,,,,,,4 Malcolm Street Enoggera 4051,-27.4230049,152.9884971
House,,,,,,,,178 Samford Road Enoggera 4051,-27.4231647,152.9921231
House,,,,,,,,317 Wardell Street Enoggera 4051,-27.4231772,152.9908887
House,,,,,,,,368 Wardell Street Enoggera 4051,-27.4204155,152.9908307
House,,,,,,,,372 Wardell Street Enoggera 4051,-27.4202979,152.9908767